Infinitiv,Type,Hilfsverb,Perfektpartizip,Pattern
ab.hängen,starke,haben,abgehängt,partizip + ge + stem + t
ab.holen,schwache,haben,abgeholt,partizip + ge + stem + t
ab.nehmen,schwache,haben,abgenommen,partizip + ge + infinitiv[e -> o][h -> m]
an.fangen,starke,haben,angefangen,partizip + ge + infinitiv
an.hören,schwache,haben,angehört,partizip + ge + stem + t
an.kommen,starke,sein,angekommen,partizip + ge + infinitiv
an.rufen,,haben,angerufen,partizip + ge + infinitiv
an.sprechen,starke,haben,angesprochen,partizip + ge + infinitiv[e -> o]
an.ziehen (sich),starke,sein,angezogen,partizip + ge + infinitiv[ie -> o][h -> g]
arbeiten,schwache,haben,gearbeitet,ge + stem + t
auf.geben,starke,sein,aufgegeben,partizip + ge + infinitiv
auf.hören,schwache,haben,aufgehört,ge + stem + t
auf.schreiben,starke,haben,aufgeschrieben,partizip + ge + infinitiv
auf.stehen,starke,sein,aufgestanden,partizip + ge + infinitiv[e -> a][h -> nd]
auf.wachen,schwache,sein,aufgewacht,partizip + ge + stem + t
aus.geben,starke,sein,ausgegeben,partizip + ge + infinitiv
aus.gehen,starke,sein,ausgegangen,partizip + ge + infinitiv[e -> a][h -> ng]
aus.machen,schwache,haben,ausgemacht,partizip + ge + stem + t
aus.sehen,starke,haben,ausgesehen,partizip + ge + infinitiv
aus.ziehen (sich),starke,sein,ausgezogen,Partizip + ge + infinitiv[ie -> o][h -> g]
beeinflussen,schwache,haben,beeinflusst,partizip + stem + t
beginnen,starke,haben,begonnen,partizip + infinitiv[e -> o]
bekommen,starke,haben,bekommen,partizip + infinitiv
benutzen,schwache,haben,benutzt,partizip + stem + t
beschreiben,starke,haben,beschreiben,partizip + infinitiv
besichtigen,schwache,haben,besichtigt,partizip + stem + t
besprechen,starke,haben,besprochen,partizip + infinitiv[e -> o]
bestellen,schwache,haben,bestellt,partizip + stem + t
besuchen,schwache,haben,besucht,partizip + stem + t
bewegen (sich),schwache,haben,bewegt,partizip + stem + t
bleiben,starke,sein,geblieben,ge + infinitiv
brauchen,schwache,haben,gebraucht,ge + stem + t
buchstabieren,gemischt,haben,buchstabiert,stem + t
checken,schwache,haben,gecheckt,ge + stem + t
danken,schwache,haben,gedankt,ge + stem + t
dauern,schwache,haben,gedauert,ge + stem + t
denken,gemischt,haben,gedacht,ge + infinitiv[e -> a][k -> ch]
diskutieren,gemischt,haben,diskutiert,stem + t
duschen (sich),schwache,haben,geduscht,ge + stem + t
ein.kaufen,schwache,haben,eingekauft,partizip + ge + stem + t
ein.laden,starke,sein,eingeladen,partizip + ge + stem + t
ein.schlafen,starke,sein,eingeschlafen,partizip + infinitiv
entdecken,schwache,haben,entdeckt,partizip + stem + t
entspannen (sich),schwache,haben,entspannt,partizip + stem + t
entwerfen,,haben,entworfen,partizip + infinitiv[e -> o]
entwickeln,schwache,haben,entwickelt,partizip + stem + t
erfahren,,haben,erfahren,partizip + infinitiv
erfinden,starke,haben,erfunden,partizip + infinitiv[I -> u]
